общая (м²),жилая (м²),кухня (м²),этаж,потолки (м),год постройки (год),Станция метро,Расстояние до метро (мин),Стоимость (рубли),Тип квартиры,отделка,Санузел,Лоджия,Вид из окон во двор,Интернет,Мебель,Мебель на кухне,Стиральная машина,Холодильник,Посудомойка,Можно с детьми,застройщик,Индивидуальный проект,тип здания,число подъездов,Лифт,Мусоропровод,Открытая парковка,число квартир,Центральное отопление,Без животных,Без детей,Охрана/консьерж,Вид из окон на улицу,Телевизор,Закрытая территория,Балкон,Можно с животными,Несколько санузлов,реконструкция,Кондиционер,Закрытая парковка,Автономное отопление,Подземная парковка,Встроенная техника,Вид из окон во двор и на улицу,На полу паркет,Телефон,Сигнализация,На полу ламинат,Две лоджии,Два балкона,URL
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,URL
38,?,11,20/26,"2,7",2011,Парнас,10,35000,1-комнатная квартира,?,?,?,?,?,?,?,?,?,?,?,Застройщик Главстрой Регионы,1,?,5,1,1,1,?,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6330279923590903576/;
52,?,?,3/11,"2,7",2023,Лиговский Проспект,6,80000,2-комнатная квартира,Отделка — евроремонт,совмещённый,?,1,1,1,?,1,1,?,1,Застройщик АртИК,1,?,?,1,?,1,?,?,1,?,?,?,1,1,1,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/7118835491596342327/;
25,19,?,12/29,"2,7",2022,Купчино,5,35000,апартаменты-студия,Отделка — косметический ремонт,совмещённый,?,?,1,1,1,1,1,?,?,Застройщик PLG,1,Монолитное здание,?,1,1,1,?,?,?,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5635565878278949376/;
56,?,?,1/5,"3,05",1959,Удельная,5,52500,2-комнатная квартира,Отделка — евроремонт,раздельный,?,1,1,1,?,1,1,?,1,?,1,Кирпичное здание,4,?,?,1,60,1,1,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/723576450968698975/;
100,60,10,9/24,"2,8",2003,Пионерская,7,62000,3-комнатная квартира,Отделка — косметический ремонт,совмещённый,1,?,1,1,1,1,1,?,1,?,1,Монолитное здание,12,1,1,1,?,1,?,?,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/1607548260183308544/;
32,?,?,3/4,?,1756,Сенная Площадь,5,46000,квартира-студия,Отделка — дизайнерский ремонт,совмещённый,?,?,1,1,1,1,1,1,1,?,1,Кирпичное здание,?,?,?,?,36,1,?,?,?,1,1,1,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/1418412078491393793/;
26,15,6,3/5,?,?,Садовая,5,50000,1-комнатная квартира,?,совмещённый,?,?,?,1,?,1,1,?,?,?,1,Кирпичное здание,8,1,?,1,?,?,?,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/3236029302325871535/;
72,30,12,16/17,"2,75",2009,Приморская,10,70000,2-комнатная квартира,Отделка — дизайнерский ремонт,совмещённый,1,1,1,1,1,1,1,?,?,?,1,Кирпичное здание,3,1,1,?,547,1,?,?,1,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5425694999612174080/;
55,32,8,2/5,"2,9",1957,Кировский завод,5,32000,2-комнатная квартира,Отделка — косметический ремонт,раздельный,?,?,1,1,1,1,1,?,1,?,?,Кирпичное здание,?,?,?,1,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,https://realty.ya.ru/offer/7178485310120305153/;
82,?,?,3/5,3,1916,Достоевская,6,83500,3-комнатная квартира,Отделка — евроремонт,совмещённый,?,1,1,1,?,1,1,?,1,?,1,Кирпичное здание,10,?,?,1,?,1,?,?,?,?,1,1,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/8008384822524639968/;
18,?,?,2/4,?,1899,Маяковская,8,46000,квартира-студия,Отделка — евроремонт,совмещённый,?,1,1,1,?,1,1,?,1,?,1,Кирпичное здание,?,?,?,1,11,?,1,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/2274900600968268964/;
23,?,?,7/12,3,2020,Старая Деревня,9,36000,квартира-студия,?,?,?,?,?,?,?,?,?,?,?,Застройщик Setl Group,1,Кирпично-монолитное здание,?,1,1,1,?,?,?,?,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/8021889054381623297/;
45,18,12,2/4,?,1864,Достоевская,5,65000,1-комнатная квартира,Отделка — дизайнерский ремонт,совмещённый,?,?,1,1,1,1,1,1,?,?,?,Кирпичное здание,?,?,?,1,20,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5203055392665168807/;
