общая (м²),жилая (м²),кухня (м²),этаж,потолки (м),год постройки (год),Станция метро,Расстояние до метро (мин),Стоимость (рубли),Тип квартиры,отделка,Санузел,Лоджия,Вид из окон во двор,Интернет,Мебель,Мебель на кухне,Стиральная машина,Холодильник,Посудомойка,Можно с детьми,застройщик,Индивидуальный проект,тип здания,число подъездов,Лифт,Мусоропровод,Открытая парковка,число квартир,Центральное отопление,Без животных,Без детей,Охрана/консьерж,Вид из окон на улицу,Телевизор,Закрытая территория,Балкон,Можно с животными,Несколько санузлов,реконструкция,Кондиционер,Закрытая парковка,Автономное отопление,Подземная парковка,Встроенная техника,Вид из окон во двор и на улицу,На полу паркет,Телефон,Сигнализация,На полу ламинат,Две лоджии,Два балкона,URL
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,URL
33,16,8,4/5,?,?,Елизаровская,10,40000,1-комнатная квартира,Отделка — косметический ремонт,совмещённый,?,?,1,1,1,1,1,?,?,?,?,Кирпичное здание,?,?,?,1,?,?,1,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6989123672994013813/;
31,16,7,4/5,?,1964,Ломоносовская,6,30000,1-комнатная квартира,Отделка — косметический ремонт,совмещённый,?,1,1,1,?,1,1,1,?,?,1,Кирпичное здание,8,?,?,1,?,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6235467391564723074/;
25,20,?,2/5,3,2020,Пушкинская,6,65000,апартаменты-студия,Отделка — дизайнерский ремонт,совмещённый,?,?,1,1,1,?,1,?,?,Застройщик Acqualina Development,1,Кирпичное здание,?,1,1,1,?,?,?,?,1,?,1,?,?,?,?,?,1,?,?,?,?,1,?,?,?,?,?,?,https://realty.ya.ru/offer/4935786043647237632/;
59,?,?,18/24,"2,7",2022,Пионерская,8,81000,2-комнатная квартира,Отделка — евроремонт,раздельный,1,1,1,1,?,1,1,1,1,"Застройщики Мегалит, Охта Групп",1,Монолитное здание,?,1,?,1,?,?,1,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/2434361920298693525/;
37,16,9,1/9,"2,5",1970,Улица Дыбенко,4,30000,1-комнатная квартира,Отделка — косметический ремонт,раздельный,?,?,1,1,1,1,1,?,1,?,?,Панельное здание,8,1,1,1,265,?,?,?,?,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6799770857903709184/;
30,18,?,7/7,"2,7",?,Площадь Восстания,10,55000,квартира-студия,Отделка — дизайнерский ремонт,совмещённый,1,?,1,1,1,1,1,1,?,Застройщик Группа «Эталон»,1,Кирпичное здание,37,1,1,1,741,?,?,?,1,?,1,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5203055392665168648/;
"42,2",15,13,7/20,"2,75",2007,Академическая,4,35000,1-комнатная квартира,Отделка — евроремонт,раздельный,1,1,1,1,?,1,1,?,?,?,1,Монолитное здание,7,1,1,1,?,1,1,1,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/4947822309567797122/;
15,?,?,5/5,"3,48",1916,Достоевская,4,35000,квартира-студия,Отделка — косметический ремонт,совмещённый,?,1,1,1,?,1,1,?,1,?,1,Кирпичное здание,6,1,?,1,?,?,?,?,?,?,1,?,?,?,?,1,?,?,1,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/4112266535613335552/;
83,52,9,2/4,?,1955,Чёрная речка,5,85000,3-комнатная квартира,Отделка — дизайнерский ремонт,раздельный,?,?,1,1,1,1,1,1,?,?,?,Кирпичное здание,3,?,?,1,?,1,?,?,?,?,1,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5203055392665169574/;
"45,2",?,?,8/13,"2,7",2021,Фрунзенская,8,71000,1-комнатные апартаменты,Отделка — евроремонт,совмещённый,?,1,1,1,?,1,1,1,1,Застройщик RBI,1,Монолитное здание,?,1,1,1,?,?,1,?,?,?,1,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/395557146955885685/;
12,10,?,2/4,?,1854,Достоевская,5,26700,квартира-студия,Отделка — косметический ремонт,совмещённый,?,1,1,1,1,1,1,?,?,?,1,Кирпичное здание,?,?,?,1,15,1,?,?,?,?,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/2208962883834439680/;
108,?,?,4/8,3,2002,Василеостровская,4,189000,3-комнатная квартира,Отделка — евроремонт,?,?,1,1,1,?,1,1,1,?,?,1,Кирпичное здание,6,1,?,1,85,1,1,1,1,?,1,1,?,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/3897820890740996071/;
35,20,10,7/27,"2,7",2011,Парнас,6,35000,1-комнатная квартира,Отделка — евроремонт,совмещённый,1,1,1,1,?,1,1,?,?,Застройщик Главстрой Регионы,1,Монолитное здание,4,1,1,1,1691,1,1,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6195813977126874545/;
37,25,6,4/5,3,1854,Василеостровская,10,35000,2-комнатная квартира,Отделка — требуется ремонт,раздельный,?,1,?,1,?,1,1,?,1,?,1,Кирпичное здание,3,?,?,1,?,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/4309358178733415560/;
42,?,?,3/5,"2,5",1961,Автово,8,54500,3-комнатная квартира,Отделка — косметический ремонт,совмещённый,?,1,1,1,?,1,1,?,1,?,1,Панельное здание,7,?,?,1,70,1,1,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5331779600410872628/;
39,?,?,3/9,?,1988,Комендантский проспект,9,46000,1-комнатная квартира,Отделка — евроремонт,раздельный,1,?,1,1,?,1,1,1,1,?,?,Панельное здание,4,1,1,1,143,1,1,?,?,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/7236101998440266722/;
19,?,?,5/10,?,2019,Лиговский Проспект,8,70000,апартаменты-студия,Отделка — евроремонт,совмещённый,?,?,1,1,?,1,1,?,1,Застройщик ГК «Пионер»,1,?,?,1,1,1,?,?,?,?,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/4150448890785236737/;
50,29,"8,8",4/4,"2,85",1798,Невский проспект,6,74000,2-комнатная квартира,Отделка — косметический ремонт,раздельный,?,1,1,1,1,1,1,?,?,?,1,Кирпичное здание,?,?,?,1,16,1,1,1,?,?,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/459920881640910081/;
35,18,10,4/16,"2,6",2008,Звёздная,9,37000,1-комнатная квартира,Отделка — евроремонт,раздельный,1,1,1,1,1,1,1,?,?,Застройщик ЛСР. Недвижимость – Северо-Запад,1,Панельное здание,3,1,1,1,275,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5610137499200687617/;
21,?,?,4/5,"2,8",1874,Московские ворота,7,34000,квартира-студия,?,?,?,?,1,1,1,1,1,?,?,?,1,Кирпичное здание,3,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/1138215984221293568/;
103,75,14,5/6,"4,2",1910,Адмиралтейская,4,90000,3-комнатная квартира,?,раздельный,?,?,?,1,?,1,1,?,?,?,1,Кирпичное здание,?,1,?,1,54,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6277929468793554813/;
19,13,?,8/18,"2,5",2023,Бухарестская,4,35000,апартаменты-студия,?,?,?,?,1,1,1,?,1,?,1,"Застройщики TMG group, ЮИТ",1,Монолитное здание,?,1,1,1,?,?,1,?,1,?,1,1,?,?,?,?,1,?,?,?,1,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5227616976259112184/;
16,?,?,1/2,?,?,Площадь Восстания,7,32000,апартаменты-студия,Отделка — дизайнерский ремонт,совмещённый,?,?,1,1,1,1,1,?,1,?,1,Кирпичное здание,?,?,?,1,?,?,?,?,1,?,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6989123672994941060/;
"70,7","40,2","14,2",1/4,"2,8",1877,Балтийская,6,70000,4-комнатная квартира,Отделка — косметический ремонт,совмещённый,?,?,1,?,?,?,?,?,?,?,1,Кирпичное здание,7,?,?,1,43,1,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/7567096160498843578/;
63,?,?,6/10,?,2019,Лиговский Проспект,8,210000,2-комнатные апартаменты,Отделка — евроремонт,раздельный,?,?,1,1,1,1,1,1,1,Застройщик ГК «Пионер»,1,?,?,1,1,1,?,?,?,?,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/1238418142033512961/;
42,29,6,1/5,"2,55",1961,Новочеркасская,10,36000,2-комнатная квартира,Отделка — косметический ремонт,совмещённый,?,1,1,1,1,1,1,?,1,?,?,Панельное здание,5,?,?,1,100,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/8662062345925956097/;
107,54,17,2/5,"2,75",1907,Лиговский Проспект,5,80000,3-комнатная квартира,?,?,?,?,?,?,?,?,?,?,?,?,1,Кирпичное здание,5,1,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6436595710181012480/;
"37,5",23,11,3/6,"2,8",2022,Балтийская,9,66000,1-комнатная квартира,Отделка — дизайнерский ремонт,совмещённый,?,?,1,1,1,1,1,1,?,?,1,?,?,1,?,1,?,?,?,?,1,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/4098688452633660416/;
"34,5","19,3",?,7/18,"2,5",2019,Бухарестская,4,60000,1-комнатные апартаменты,?,?,?,?,1,1,1,1,1,1,1,"Застройщики TMG group, ЮИТ",1,Монолитное здание,?,1,1,1,?,?,?,?,1,?,1,1,?,1,?,?,1,?,?,?,1,?,?,?,?,?,?,?,https://realty.ya.ru/offer/7567098580063300675/;
54,29,10,2/5,"2,85",1866,Лиговский Проспект,9,73000,2-комнатная квартира,Отделка — дизайнерский ремонт,раздельный,?,1,1,1,1,1,1,1,1,?,1,?,2,1,?,1,20,1,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5709822659987211776/;
58,17,16,6/6,?,1901,Чернышевская,8,60000,1-комнатная квартира,?,?,?,?,?,1,?,1,1,?,?,?,1,Кирпичное здание,?,1,?,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6277929468793708640/;
25,?,?,23/25,"2,7",2022,Купчино,5,35000,апартаменты-студия,?,?,?,?,?,?,?,?,?,?,?,Застройщик PLG,1,Монолитное здание,?,1,1,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6330279923561621904/;
250,68,25,4/4,?,1847,Адмиралтейская,8,225000,5-комнатная квартира,Отделка — евроремонт,?,?,?,1,1,?,1,1,1,1,?,1,Кирпичное здание,9,1,?,1,61,1,?,?,1,1,1,?,1,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/3962881619898619879/;
78,?,?,11/17,"2,7",2015,Лесная,6,109500,3-комнатная квартира,Отделка — дизайнерский ремонт,?,?,?,1,1,?,1,1,1,1,Застройщик Лидер Групп,1,Кирпичное здание,7,1,?,1,?,?,1,?,?,1,1,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,1,?,https://realty.ya.ru/offer/9050528548818148971/;
30,22,?,5/10,"2,7",2021,Фрунзенская,8,52000,апартаменты-студия,Отделка — дизайнерский ремонт,совмещённый,?,?,1,1,?,1,1,?,1,Застройщик RBI,1,Монолитное здание,?,1,1,1,?,?,?,?,?,1,1,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/7667178062012210734/;
15,14,?,4/4,"2,5",2020,Площадь Восстания,8,34000,квартира-студия,Отделка — косметический ремонт,совмещённый,?,?,1,1,?,?,?,?,1,?,?,?,?,1,?,1,?,?,?,?,?,?,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/8400754750312203264/;
30,10,4,2/4,"3,6",1916,Адмиралтейская,1,80000,1-комнатные апартаменты,Отделка — евроремонт,совмещённый,?,?,1,1,1,1,1,1,1,?,?,Кирпично-монолитное здание,?,?,?,1,?,?,?,?,?,?,1,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6989123672994674767/;
40,20,10,5/15,"2,7",2011,Улица Дыбенко,9,35000,1-комнатная квартира,Отделка — косметический ремонт,раздельный,1,1,1,1,1,1,1,?,1,?,1,Кирпичное здание,7,1,1,1,502,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/8331044340236918273/;
100,43,40,4/4,?,?,Невский проспект,3,90000,3-комнатная квартира,Отделка — евроремонт,совмещённый,?,?,1,1,?,1,1,1,1,?,?,Кирпичное здание,1,?,?,1,?,?,?,?,?,?,1,?,?,1,?,?,?,?,?,?,?,1,?,?,?,?,?,?,https://realty.ya.ru/offer/7667178063904626385/;
55,30,10,12/12,3,2020,Старая Деревня,9,80000,2-комнатная квартира,Отделка — евроремонт,совмещённый,1,?,1,1,1,1,1,1,1,Застройщик Setl Group,1,Кирпично-монолитное здание,?,1,1,1,?,?,?,?,?,?,1,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6989123673027054856/;
"26,7","19,7",?,5/26,"2,7",2018,Девяткино,9,27999,квартира-студия,Отделка — евроремонт,совмещённый,?,?,1,1,?,1,1,?,?,Застройщик Лидер Групп,1,Кирпично-монолитное здание,2,1,1,1,689,?,?,?,1,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/963146602172233906/;
85,?,?,2/12,"2,7",2019,Лесная,8,89500,4-комнатная квартира,Отделка — евроремонт,?,?,?,1,1,?,1,1,1,1,Застройщик КВС,1,Кирпично-монолитное здание,?,1,?,1,?,?,?,?,?,1,1,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/1416784160946699742/;
24,21,?,10/18,"2,5",2023,Бухарестская,4,42000,апартаменты-студия,?,?,?,?,1,1,1,1,1,?,1,"Застройщики TMG group, ЮИТ",1,Монолитное здание,?,1,1,1,?,?,1,?,1,?,1,1,?,?,?,?,1,?,?,?,1,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6225526135977337461/;
36,21,6,1/6,?,1874,Адмиралтейская,4,75000,2-комнатная квартира,Отделка — евроремонт,совмещённый,?,?,?,?,?,?,?,?,1,?,1,Кирпичное здание,3,?,?,1,11,1,?,?,?,?,?,?,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6989123672994766216/;
"48,5",28,10,3/11,"2,7",2023,Лиговский Проспект,6,75000,2-комнатная квартира,Отделка — дизайнерский ремонт,совмещённый,?,?,1,1,1,1,1,1,?,Застройщик АртИК,1,Кирпичное здание,?,1,?,1,?,?,?,?,1,?,1,1,1,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5203055392665166725/;
14,8,?,2/6,"3,5",1953,Василеостровская,6,26000,квартира-студия,Отделка — дизайнерский ремонт,совмещённый,?,1,1,1,1,1,1,?,?,?,1,Кирпичное здание,2,?,1,1,13,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/2735859947258016256/;
31,17,7,3/9,"2,6",1968,Академическая,9,33000,1-комнатная квартира,Отделка — евроремонт,раздельный,?,1,1,1,1,1,1,?,?,?,?,Панельное здание,6,1,1,1,?,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6584201391237350912/;
"114,2",?,?,5/5,"3,7",1876,Площадь Восстания,7,141000,3-комнатная квартира,Отделка — дизайнерский ремонт,?,?,1,1,1,?,1,1,?,1,?,1,Кирпичное здание,8,1,?,1,?,1,1,?,?,?,1,?,?,?,1,1,1,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/4931097285863179181/;
59,33,13,18/25,"2,7",2022,Пионерская,8,77000,2-комнатная квартира,Отделка — дизайнерский ремонт,раздельный,?,?,1,1,1,1,1,1,?,"Застройщики Мегалит, Охта Групп",1,Кирпичное здание,?,1,1,1,?,?,?,?,1,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5203055392665169549/;
58,?,?,4/4,3,1798,Садовая,8,122500,2-комнатная квартира,Отделка — дизайнерский ремонт,раздельный,?,1,?,1,?,1,1,1,1,?,1,Кирпичное здание,5,?,?,1,?,1,?,?,?,?,1,?,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/2846109282702936307/;
105,64,11,5/6,?,?,Технологический институт,5,125000,3-комнатная квартира,Отделка — дизайнерский ремонт,раздельный,?,?,1,1,1,1,1,1,?,?,?,Кирпичное здание,2,?,?,1,?,?,?,?,?,?,1,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5203055392665167810/;
53,?,12,2/6,3,2020,Балтийская,9,70000,2-комнатная квартира,Отделка — евроремонт,раздельный,?,?,1,1,1,1,1,1,1,?,1,?,?,1,?,1,?,?,?,?,1,?,1,?,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,https://realty.ya.ru/offer/5962754116216394753/;
16,?,?,4/5,"2,94",1884,Площадь Ленина,2,32000,квартира-студия,?,?,?,?,1,1,1,1,1,?,?,?,1,Кирпичное здание,10,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/7714019228364977152/;
23,19,?,8/18,"2,5",2023,Бухарестская,4,42000,апартаменты-студия,?,?,?,?,1,1,1,1,1,?,1,"Застройщики TMG group, ЮИТ",1,Монолитное здание,?,1,1,1,?,?,1,?,1,?,1,1,?,?,?,?,1,?,?,?,1,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6225526135977337463/;
32,14,9,1/10,"2,65",2000,Академическая,9,25000,1-комнатная квартира,?,раздельный,?,?,?,1,1,?,?,?,?,?,?,Панельное здание,4,1,1,1,160,1,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5728990263970427648/;
50,25,10,5/8,"2,75",2023,Московские ворота,10,90000,2-комнатная квартира,Отделка — дизайнерский ремонт,раздельный,?,?,1,1,1,1,1,1,?,Застройщик Группа «Эталон»,1,Кирпичное здание,?,1,1,1,?,?,?,?,1,?,1,1,1,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5203055392665140716/;
"25,7",21,?,4/21,"2,6",2008,Звёздная,9,35000,квартира-студия,Отделка — евроремонт,совмещённый,?,1,1,1,1,1,1,?,1,?,1,Кирпичное здание,3,1,1,1,751,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/3885303777337621761/;
27,?,?,3/4,?,1880,Площадь Восстания,8,32990,квартира-студия,Отделка — дизайнерский ремонт,совмещённый,?,1,1,1,1,1,1,?,?,?,?,Кирпичное здание,7,1,1,1,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/3066299436034546689/;
41,?,17,2/25,"2,7",2021,Купчино,10,40000,1-комнатная квартира,?,?,?,?,?,?,?,?,?,?,?,Застройщик ЛСР. Недвижимость – Северо-Запад,1,Монолитное здание,?,1,1,1,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6330279923592841697/;
42,20,12,11/28,"2,8",2006,Комендантский проспект,3,40000,1-комнатная квартира,?,?,?,?,?,?,?,?,?,?,?,?,1,Монолитное здание,7,1,1,1,800,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/1862060863529232640/;
38,"18,5","10,5",5/10,"2,7",2023,Ломоносовская,9,50000,1-комнатная квартира,Отделка — дизайнерский ремонт,совмещённый,?,1,1,1,1,1,1,?,1,Застройщик Setl Group,1,Кирпично-монолитное здание,?,1,1,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5636090560002534912/;
20,15,?,2/5,"3,3",1909,Площадь Александра Невского,7,36000,квартира-студия,Отделка — дизайнерский ремонт,совмещённый,?,?,?,1,1,1,1,?,?,?,?,Кирпичное здание,?,?,?,1,?,?,?,?,?,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5146359907377069825/;
32,18,6,2/9,"2,5",1968,Удельная,10,23000,2-комнатная квартира,Отделка — косметический ремонт,совмещённый,?,1,1,1,1,1,1,?,?,?,1,Кирпичное здание,?,1,1,1,84,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/947188447211509249/;
28,20,?,8/25,"2,8",2012,Академическая,7,35000,квартира-студия,Отделка — евроремонт,совмещённый,?,1,1,1,?,1,1,?,?,Застройщик Группа «Эталон»,1,Монолитное здание,5,1,1,1,559,1,?,?,1,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/961292757513838848/;
68,44,8,5/6,"3,45",1952,Московская,9,58000,3-комнатная квартира,Отделка — косметический ремонт,раздельный,?,?,1,1,1,1,1,1,1,?,1,Кирпичное здание,9,1,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,1,?,?,?,1,?,?,?,?,?,1,https://realty.ya.ru/offer/6410047056977425665/;
60,37,11,2/5,4,1860,Маяковская,8,80000,2-комнатная квартира,Отделка — евроремонт,совмещённый,?,?,1,1,1,1,1,?,?,?,1,Кирпичное здание,2,?,?,?,17,1,?,?,?,1,1,1,?,?,?,1,?,1,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/2133995108482558720/;
32,17,9,1/5,3,1903,Чкаловская,7,40000,1-комнатная квартира,Отделка — косметический ремонт,совмещённый,?,1,1,1,1,1,1,?,?,?,1,Кирпичное здание,2,?,?,1,?,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/822259209496410881/;
20,?,?,2/7,"2,67",1879,Горьковская,9,43000,квартира-студия,Отделка — дизайнерский ремонт,совмещённый,?,1,1,1,?,1,1,?,?,?,1,Кирпичное здание,?,?,?,1,33,1,1,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/3794963706395372812/;
"58,3","31,3",12,23/24,"2,7",2016,Проспект Славы,8,60000,2-комнатная квартира,Отделка — евроремонт,?,1,1,1,1,1,1,1,1,1,Застройщик ЛСР. Недвижимость – Северо-Запад,1,Панельное здание,1,1,1,1,165,?,1,?,1,?,1,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/4471907011169511999/;
26,16,?,1/12,3,2020,Старая Деревня,9,35000,квартира-студия,?,?,?,?,?,?,?,?,?,?,?,Застройщик Setl Group,1,Кирпично-монолитное здание,?,1,1,1,?,?,?,?,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/4801774125207299584/;
45,?,?,16/16,3,2022,Фрунзенская,4,84000,2-комнатные апартаменты,Отделка — евроремонт,совмещённый,1,?,1,1,?,1,1,?,?,Застройщик Группа Аквилон,1,Кирпично-монолитное здание,?,1,?,1,?,?,1,1,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/96506905097053835/;
151,72,36,14/21,3,2008,Площадь Ленина,9,300000,4-комнатная квартира,Отделка — дизайнерский ремонт,?,?,?,1,1,1,1,1,1,?,?,1,Кирпичное здание,?,1,1,1,?,1,?,?,1,?,1,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5203055392665166943/;
19,13,?,8/18,"2,5",2023,Бухарестская,4,35000,апартаменты-студия,?,?,?,?,1,1,1,?,1,?,1,"Застройщики TMG group, ЮИТ",1,Монолитное здание,?,1,1,1,?,?,1,?,1,?,1,1,?,?,?,?,1,?,?,?,1,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6225526135977337525/;
80,50,14,2/3,"3,7",1828,Гостиный двор,10,75000,3-комнатная квартира,Отделка — евроремонт,раздельный,?,?,1,1,1,1,1,1,1,?,1,Кирпичное здание,5,?,?,1,?,1,?,?,?,?,1,1,?,?,?,1,?,?,?,?,?,1,?,?,?,?,?,?,https://realty.ya.ru/offer/1039765988201848577/;
25,18,?,2/13,"2,7",2021,Фрунзенская,8,50000,апартаменты-студия,Отделка — дизайнерский ремонт,совмещённый,?,?,1,1,?,1,1,?,1,Застройщик RBI,1,Монолитное здание,?,1,1,1,?,?,?,?,?,1,1,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/7667178062012187609/;
40,16,10,5/17,"2,7",2013,Удельная,7,45000,1-комнатная квартира,Отделка — евроремонт,совмещённый,?,?,1,1,?,1,1,?,?,Застройщик Строительный трест,1,Кирпично-монолитное здание,1,1,1,1,224,?,1,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/1804760386211335123/;
45,30,6,1/5,"2,55",1965,Проспект Славы,14,40000,2-комнатная квартира,Отделка — косметический ремонт,совмещённый,?,1,1,?,1,?,1,?,?,?,?,Панельное здание,9,?,?,1,134,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/1045855597714181121/;
99,?,?,11/16,"2,7",2004,Комендантский проспект,8,82000,3-комнатная квартира,Отделка — евроремонт,?,1,1,1,1,?,1,1,1,1,?,1,Кирпичное здание,6,1,1,1,326,1,?,?,1,?,1,?,?,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/4478514352925238136/;
30,?,?,2/5,3,1880,Площадь Александра Невского,7,49500,квартира-студия,Отделка — евроремонт,совмещённый,?,1,?,1,?,1,1,?,1,?,1,Кирпичное здание,6,?,?,1,?,1,?,?,?,?,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/3202219845599793914/;
