общая (м²),жилая (м²),кухня (м²),этаж,потолки (м),год постройки (год),Расстояние до метро (мин),Стоимость (рубли),Тип квартиры,отделка,Санузел,Лоджия,Вид из окон во двор,Интернет,Мебель,Мебель на кухне,Стиральная машина,Холодильник,Посудомойка,Можно с детьми,застройщик,Индивидуальный проект,тип здания,число подъездов,Лифт,Мусоропровод,Открытая парковка,число квартир,Центральное отопление,Без животных,Без детей,Охрана/консьерж,Вид из окон на улицу,Телевизор,Закрытая территория,Балкон,Можно с животными,Несколько санузлов,реконструкция,Кондиционер,Закрытая парковка,Автономное отопление,Подземная парковка,Встроенная техника,Вид из окон во двор и на улицу,На полу паркет,Телефон,Сигнализация,На полу ламинат,Две лоджии,Два балкона,URL,Станция метро
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,URL,0
36,22,10,0.92,3,2018,9,30000,1.0,1,2,1,1,1,1,1,1,1,0,1,8.0,1,4,2,1,1,1,689,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/2097983767506586369/;,Девяткино
36,0,0,0.3333333333333333,0,1874,4,125500,1.0,2,2,0,1,1,1,0,1,1,0,1,0.0,1,3,3,0,0,1,11,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/2312299529835657942/;,Адмиралтейская
"55,4","36,6",10,0.4,"3,05",1911,6,95000,2.0,2,2,0,1,1,1,0,1,1,1,0,0.0,1,3,2,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/8593723129471118733/;,Владимирская
"47,9","27,9",0,0.9,"2,75",2016,9,68000,1.0,3,2,1,1,1,1,1,1,1,1,1,1.0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/8423896129259437057/;,Удельная
25,0,0,0.5,0,1916,6,45000,0.5,2,2,0,1,1,1,1,1,1,0,1,0.0,1,3,0,0,0,1,12,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/2437009374517086209/;,Площадь Восстания
22,16,0,0.6923076923076923,"2,6",2021,8,37000,0.5,0,0,0,0,0,0,0,0,0,0,0,4.0,1,5,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/7904186446725464064/;,Пролетарская
17,13,0,0.25,"4,3",1904,10,30000,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,1,3,2,0,0,1,18,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/6330279923591175605/;,Обводный канал
45,0,0,0.41379310344827586,"2,7",2022,5,44990,1.0,2,2,0,0,1,1,1,1,1,0,0,12.0,1,5,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/4502810374082064641/;,Купчино
14,13,0,1.0,"2,5",2020,8,34000,0.5,1,2,0,0,1,1,0,0,0,0,1,0.0,0,3,9,0,0,1,37,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/3498518921013997056/;,Площадь Восстания
20,12,0,0.5,"2,8",2020,8,51300,0.5,3,2,0,1,1,1,1,1,1,0,1,16.0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/7038531742989954816/;,Лиговский Проспект
