URL	Характеристики	Детали квартиры
https://realty.ya.ru/offer/2312299529835657942/;	общая (м²): 36; этаж: 1/3; год постройки (год): 1874; Станция метро: Адмиралтейская; Расстояние до метро (мин): 4; Стоимость (рубли): 125500; Тип квартиры:  1-комнатная квартира; отделка: Отделка — евроремонт; Санузел: совмещённый; Вид из окон во двор: 1; Интернет: 1; Мебель: 1; Телевизор: 1; Стиральная машина: 1; Холодильник: 1; Можно с животными: 1; Можно с детьми: 1; Индивидуальный проект: 1; реконструкция: 1; тип здания: Кирпичное здание; число квартир: 11; число подъездов: 3; Центральное отопление: 1; Открытая парковка: 1	
https://realty.ya.ru/offer/8593723129471118733/;	общая (м²): 55,4; жилая (м²): 36,6; кухня (м²): 10; этаж: 2/5; потолки (м): 3,05; год постройки (год): 1911; Станция метро: Владимирская; Расстояние до метро (мин): 6; Стоимость (рубли): 95000; Тип квартиры:  2-комнатная квартира; отделка: Отделка — евроремонт; Санузел: совмещённый; Балкон: 1; Вид из окон во двор: 1; Интернет: 1; Мебель: 1; Телевизор: 1; Стиральная машина: 1; Холодильник: 1; Посудомойка: 1; Без животных: 1; Без детей: 1; Индивидуальный проект: 1; тип здания: Кирпичное здание; число подъездов: 2; Центральное отопление: 1; Открытая парковка: 1	
https://realty.ya.ru/offer/8423896129259437057/;	общая (м²): 47,9; жилая (м²): 27,9; этаж: 9/10; потолки (м): 2,75; год постройки (год): 2016; Станция метро: Удельная; Расстояние до метро (мин): 9; Стоимость (рубли): 68000; Тип квартиры:  1-комнатная квартира; отделка: Отделка — дизайнерский ремонт; Санузел: совмещённый; Лоджия: 1; Вид из окон во двор: 1; Интернет: 1; Мебель: 1; Мебель на кухне: 1; Стиральная машина: 1; Холодильник: 1; Посудомойка: 1; Можно с детьми: 1; застройщик: Застройщик Bonava; Лифт: 1; Охрана/консьерж: 1; Закрытая территория: 1; Закрытая парковка: 1	
https://realty.ya.ru/offer/2437009374517086209/;	общая (м²): 25; этаж: 1/2; год постройки (год): 1916; Станция метро: Площадь Восстания; Расстояние до метро (мин): 6; Стоимость (рубли): 45000; Тип квартиры:  квартира-студия; отделка: Отделка — евроремонт; Санузел: совмещённый; Вид из окон во двор: 1; Интернет: 1; Мебель: 1; Мебель на кухне: 1; Телевизор: 1; Стиральная машина: 1; Холодильник: 1; Кондиционер: 1; Можно с детьми: 1; Индивидуальный проект: 1; тип здания: Кирпичное здание; число квартир: 12; Охрана/консьерж: 1; Закрытая территория: 1; Центральное отопление: 1; Открытая парковка: 1	
https://realty.ya.ru/offer/7904186446725464064/;	общая (м²): 22; жилая (м²): 16; этаж: 18/26; потолки (м): 2,6; год постройки (год): 2021; Станция метро: Пролетарская; Расстояние до метро (мин): 8; Стоимость (рубли): 37000; Тип квартиры:  квартира-студия; застройщик: Застройщик ИПС; Индивидуальный проект: 1; тип здания: Монолитное здание; Лифт: 1; Мусоропровод: 1; Открытая парковка: 1	
https://realty.ya.ru/offer/6330279923591175605/;	общая (м²): 17; жилая (м²): 13; этаж: 1/4; потолки (м): 4,3; год постройки (год): 1904; Станция метро: Обводный канал; Расстояние до метро (мин): 10; Стоимость (рубли): 30000; Тип квартиры:  квартира-студия; Индивидуальный проект: 1; реконструкция: 1; тип здания: Кирпичное здание; число квартир: 18; число подъездов: 2; Автономное отопление: 1; Открытая парковка: 1	
https://realty.ya.ru/offer/4502810374082064641/;	общая (м²): 45; этаж: 12/29; потолки (м): 2,7; год постройки (год): 2022; Станция метро: Купчино; Расстояние до метро (мин): 5; Стоимость (рубли): 44990; Тип квартиры:  1-комнатные апартаменты; отделка: Отделка — евроремонт; Санузел: совмещённый; Вид из окон на улицу: 1; Интернет: 1; Мебель: 1; Мебель на кухне: 1; Телевизор: 1; Стиральная машина: 1; Холодильник: 1; застройщик: Застройщик PLG; Индивидуальный проект: 1; тип здания: Монолитное здание; Лифт: 1; Мусоропровод: 1; Охрана/консьерж: 1; Открытая парковка: 1	
https://realty.ya.ru/offer/3498518921013997056/;	общая (м²): 14; жилая (м²): 13; этаж: 4/4; потолки (м): 2,5; год постройки (год): 2020; Станция метро: Площадь Восстания; Расстояние до метро (мин): 8; Стоимость (рубли): 34000; Тип квартиры:  квартира-студия; отделка: Отделка — косметический ремонт; Санузел: совмещённый; Интернет: 1; Мебель: 1; Телевизор: 1; Можно с животными: 1; Можно с детьми: 1; тип здания: Кирпичное здание; число квартир: 37; число подъездов: 9; Открытая парковка: 1	
https://realty.ya.ru/offer/7038531742989954816/;	общая (м²): 20; жилая (м²): 12; этаж: 5/10; потолки (м): 2,8; год постройки (год): 2020; Станция метро: Лиговский Проспект; Расстояние до метро (мин): 8; Стоимость (рубли): 51300; Тип квартиры:  апартаменты-студия; отделка: Отделка — дизайнерский ремонт; Санузел: совмещённый; Вид из окон во двор: 1; Интернет: 1; Мебель: 1; Мебель на кухне: 1; Телевизор: 1; Стиральная машина: 1; Холодильник: 1; Можно с животными: 1; Можно с детьми: 1; застройщик: Застройщик ГК «Пионер»; Индивидуальный проект: 1; Лифт: 1; Мусоропровод: 1; Охрана/консьерж: 1; Закрытая территория: 1; Подземная парковка: 1	
https://realty.ya.ru/offer/2097501628387558913/;	общая (м²): 31; этаж: 1/3; потолки (м): 3,15; год постройки (год): 1865; Станция метро: Чернышевская; Расстояние до метро (мин): 7; Стоимость (рубли): 39990; Тип квартиры:  квартира-студия; отделка: Отделка — евроремонт; Санузел: совмещённый; Вид из окон на улицу: 1; Интернет: 1; Мебель: 1; Мебель на кухне: 1; Телевизор: 1; Стиральная машина: 1; Холодильник: 1; Можно с животными: 1; Индивидуальный проект: 1; тип здания: Кирпичное здание; число квартир: 35; число подъездов: 5; Центральное отопление: 1; Открытая парковка: 1	
